id,content,label1,category1,target1,label2,category2,target2,label3,category3,target3,true_label,true_category,true_target,pred_label,pred_category,pred_target
1,科比NBA总冠军5次，全明星赛18次，全NBA球队成员15次，全防守球队成员12次，2008年NBA最有价值球员（MVP）一次，NBA总决赛MVP冠军两次，阵亡一次。,4,DT,IS,4,DT,IS,4,DT,IS,4,DT,IS,4.0,DD,IS
2,刑天和路易，十六一定可以成为最好的朋友，为什么？因为他们可以无脑交流,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,GF
3,其实李鸿章就是最早的爱豆，西方很多粉丝都来找他签名呢,4,DT,IG,4,DT,IG,4,DT,IG,4,DT,IG,2.0,NR,IS
4,你知道为什么法国流行摇滚乐吗？因为路易16是最早的劈头士,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
5,你知道为什么我能想出来这些笑话吗？因为我的脑洞比肯尼迪还大,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,2.0,DT,IS
6,想去福利院送玩具，但是小孩必须要父母签字才能拿走玩具。,3,VO,IG,3,VO,IG,3,VO,IG,3,VO,IG,2.0,VO,IG
7,商鞅知马力，比干见人心。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
8,子推依山尽，王勃入海流。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,,Parse Error,Parse Error
9,屈原浮绿水，伯邑考成熟。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,4.0,DD,IS
10,高煦知缸炙，谢晋懂天寒。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
11,李渊无大儿，世民无长兄。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,GF
12,韩非胜酒力，元让眼迷离。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
13,李斯识经纬，难辨太史是雌雄。,4,DD,IS,4,DD,IS,4,DD,IS,4,DD,IS,1.0,NR,IS
14,躺在病床上无力地望着窗外的天空，我问护士：“爱情没了，亲情没了，友情没了，钱也没了，我是不是已经一无所有？“只见护士用包含爱心的眼神看着我并回答：“瞎说，怎么会一无所有，你不是还有病么……”,3,VO,IS,3,VO,GF,3,VO,GF,3,VO,GF,2.0,VO,GG
15,"话说溥仪有一回去故宫参观，看见墙上有张照片写着""光绪帝""，溥仪指着照片说，这不是光绪帝，是醇亲王。""旁边的工作人员说:“我们是专门研究历史的，是你懂还是我懂？""溥仪笑笑说:″历史我是不懂，可是我爹我还是认识的。""",1,NR,IS,2,GS,GG,2,GS,GG,2,GS,GG,1.0,NR,IS
16,问：《肖申克的救赎》男主每天晚上不睡觉在那挖墙，连续20年身体受得了么。答：放心，人家就算是囚犯，下班可能比你还早，又不玩手机，提前睡会儿，后半夜开挖就行。,3,GS,GG,3,GS,GG,3,GS,GG,3,GS,GG,1.0,NR,GF
17,那天下班后，我在街上遇到一个大爷领着一个小男孩。过一个小摊时，小男孩缠着大爷给他买吃的：“爷爷，给我一块钱好不好，等我长大了赚了钱都给你。”爷爷逗他说：“那你给我多少啊?”小男孩想了想说：“我说了不算，要看老婆到时给我多少!”,2,VO,GG,2,GS,GG,2,GS,GG,2,GS,GG,1.0,NR,IS
18,和老妈逛街，碰上小区阿姨，阿姨夸我说：“还是女儿好，就像贴心的小棉袄。“我妈瞅瞅我说到：“我咋觉得我这小棉袄里都是黑心棉呢！“,2,GS,IS,1,NR,GG,1,NR,GG,1,NR,GG,2.0,NR,IS
19,军训开始的时候，教官不停地指挥我们左右转。解散的时候，一个哥们自言自语地说道：“一上午转来转去有什么用呀？“英俊潇洒的教官就说：“为了你们能够黑得均匀一点。“,1,NR,GG,1,NR,GG,1,NR,GG,1,NR,GG,1.0,NR,IG
20,老师问：谁知道19世纪最畅销的商品是什么？一个黑人小孩举手：我我我！老师：答对了，那谁知道21世纪最畅销的商品是什么？一个中国小孩举手：我我我！老师：又答对了,4,VO,IG,3,GS,IG,3,GS,IG,3,GS,IG,4.0,GS,IG
